0MinReturn,LossAfter,0AveragePolicyStd,1AveragePolicyStd,1ProcessExecTime,1EnvExecTime,0Entropy,1PolicyExecTime,ComputeUpdatedDistTime,ItrTime,1Entropy,0ExplainedVariance,1Perplexity,1MinReturn,0AverageReturn,1StdReturn,0Perplexity,0PolicyExecTime,MeanKL,0StdReturn,0MaxReturn,1MaxReturn,0EnvExecTime,0NumTrajs,Time,LossBefore,0ProcessExecTime,MeanKLBefore,1NumTrajs,dLoss,1ExplainedVariance,1AverageReturn
-50.0,-0.00025963119696825743,1.0,1.000373,0.42757725715637207,92.36505842208862,5.675753,9.938191175460815,64.01343560218811,357.9197790622711,5.677192,0.996213946405259,292.12805,-50.0,-49.53,2.061528559103657,291.70795,1.96077561378479,0.006900825537741184,1.3300751858447704,-41.0,-29.0,91.72006702423096,800,357.9197688102722,-4.5672066129043287e-10,0.4717447757720947,0.0,800,0.00025963074024759614,0.9897942934168988,-49.26
-50.0,-0.0022050447296351194,0.9992581,0.99967986,0.4615445137023926,92.45893883705139,5.6726675,10.645200729370117,0.9815950393676758,208.51653265953064,5.6742883,0.9968681351827053,291.28094,-50.0,-49.57375,1.5271521698900867,290.80923,1.312736988067627,0.006235308013856411,1.2716371092021497,-40.0,-37.0,92.47513151168823,800,566.4407148361206,-1.7911195859809936e-09,0.51200270652771,0.0,800,0.0022050429385155335,0.9953434827539701,-49.5175
-50.0,-0.00015058826829772443,1.0060939,1.0063674,0.45992064476013184,93.45178389549255,5.699432,10.508307456970215,1.041391372680664,210.78661012649536,5.700492,0.9897711954675139,299.01447,-50.0,-49.305,2.0862792089027775,298.69766,1.3228187561035156,0.001137115410529077,2.1329498353219654,-27.0,-28.0,93.25142693519592,800,777.2316191196442,1.972913832304357e-09,0.5759234428405762,0.0,800,0.00015059024121155673,0.990289705715669,-49.22625
-50.0,-1.6579642760916613e-05,1.0043648,1.0044862,0.458698034286499,93.70146250724792,5.692739,10.278634309768677,1.0287158489227295,211.7810401916504,5.6932273,0.9925931196893341,296.8501,-50.0,-49.35375,2.0204810689536292,296.7052,1.3754503726959229,0.0003030254738405347,1.8624207197891673,-37.0,-31.0,93.49323296546936,800,989.0159583091736,7.137656021782846e-10,0.5956301689147949,0.0,800,1.658035652651879e-05,0.9897309634285001,-49.3125
-50.0,-0.0020173739176243544,1.004484,1.0049655,0.4628438949584961,93.50318002700806,5.6931458,10.212650299072266,1.0481884479522705,210.78227066993713,5.6949944,0.9941879463009768,297.37515,-50.0,-49.4575,1.7219157209340996,296.8259,1.3593778610229492,0.006469418294727802,1.5916010021358997,-35.0,-36.0,93.55543541908264,800,1199.8016262054443,1.665949822537982e-09,0.5877406597137451,0.0,800,0.002017375583574177,0.9932829839169075,-49.3775
-50.0,-0.002796123968437314,0.99827784,0.9976043,0.4605987071990967,93.52457237243652,5.6681113,11.259552717208862,1.0051665306091309,211.63297724723816,5.665324,0.9915589666863038,288.68155,-50.0,-49.2575,1.7582590821605328,289.48727,1.403937816619873,0.006640735547989607,2.046629851731866,-34.0,-33.0,93.64478635787964,800,1411.4379544258118,-1.3530254694416044e-09,0.5860130786895752,0.0,800,0.0027961226154118446,0.9937028758531018,-49.395
-50.0,-0.0006139495526440442,0.99943405,0.999615,0.46251916885375977,92.53245067596436,5.6716757,10.688122272491455,1.011350154876709,207.98182678222656,5.6722727,0.9920795167466512,290.69443,-50.0,-49.26,1.9212101492288656,290.52094,1.3834147453308105,0.006837222259491682,1.85469674070992,-34.0,-36.0,91.49901580810547,800,1619.4230599403381,1.3858078573569799e-10,0.5889160633087158,0.0,800,0.0006139496912248299,0.990213965649034,-49.27875
-50.0,-0.002600915264338255,1.0038205,1.0038866,0.4628736972808838,90.56305027008057,5.689288,10.56605577468872,1.0196664333343506,205.7001233100891,5.689487,0.9937903163987758,295.74185,-50.0,-49.36625,1.8555318476113527,295.68307,1.436448335647583,0.007510100491344929,1.7035583164365111,-37.0,-32.0,91.09271168708801,800,1825.1268055438995,2.1383166348698524e-09,0.6133294105529785,0.0,800,0.00260091740265489,0.9916725165536486,-49.30125
-50.0,-0.007001246325671673,1.0066439,1.0074639,0.4574410915374756,91.75678968429565,5.701093,10.82964015007019,0.9909367561340332,208.51322960853577,5.7042384,0.9887482905406082,300.1368,-50.0,-49.215,2.226934201430298,299.1943,1.488029956817627,0.008270603604614735,2.1163116500175487,-33.0,-31.0,92.57085490226746,800,2033.6433281898499,1.9371512727239804e-10,0.6077821254730225,0.0,800,0.0070012465193868,0.9866106056236014,-49.08375
-50.0,-0.0014962314162403345,1.0082437,1.0077192,0.4612617492675781,92.51031231880188,5.706582,10.744723558425903,1.0042572021484375,209.51818799972534,5.7044497,0.9877387873573493,300.20023,-50.0,-49.04375,2.2712300494445734,300.84106,1.4871454238891602,0.006873538251966238,2.1492640455514067,-32.0,-33.0,93.17138838768005,800,2243.1658747196198,3.1173228443037715e-09,0.6060185432434082,0.0,800,0.0014962345335631788,0.9864591685551005,-49.01625
-50.0,-0.003643778618425131,1.0115845,1.0112586,0.46256232261657715,93.03577256202698,5.719638,10.854006052017212,0.9981513023376465,210.78841853141785,5.7182994,0.9802952184772921,304.38684,-50.0,-48.71,2.399953124542227,304.79453,1.4639241695404053,0.006470106542110443,2.777300847945717,-32.0,-35.0,93.66959142684937,800,2453.9583809375763,-1.4722346675100084e-09,0.6013693809509277,0.0,800,0.0036437771461904633,0.9853883836714973,-48.765
